timestamp,protocol,experiment,attack_mode,rep,asr,duration,exit_code,NUM_NODES,ATTACKER_RATIO,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO
2026-02-01T16:50:37.611651,bullshark,defense_memory,fissure,3,94.8,80.63843727111816,0,,,,,,20,,,,,,,,,,,,,,,,,
2026-02-01T16:51:59.427248,bullshark,defense_memory,fissure,4,94.8,81.753089427948,0,,,,,,20,,,,,,,,,,,,,,,,,
2026-02-01T16:53:20.504704,bullshark,defense_memory,fissure,5,90.1,81.01815176010132,0,,,,,,20,,,,,,,,,,,,,,,,,
2026-02-01T16:54:41.785889,bullshark,defense_network,fissure,2,90.3,81.21891927719116,0,,,,,,,500,,,,,,,,,,,,,,,,
2026-02-01T16:56:02.304828,bullshark,defense_network,fissure,3,90.6,80.45874428749084,0,,,,,,,500,,,,,,,,,,,,,,,,
2026-02-01T16:57:24.018387,bullshark,defense_network,fissure,4,94.7,81.65460920333862,0,,,,,,,500,,,,,,,,,,,,,,,,
2026-02-01T16:58:45.196430,bullshark,defense_network,fissure,5,87.1,81.11844658851624,0,,,,,,,500,,,,,,,,,,,,,,,,
2026-02-01T17:00:05.812532,bullshark,defense_network,fissure,2,93.7,80.5560028553009,0,,,,,,,2000,,,,,,,,,,,,,,,,
2026-02-01T17:01:26.567381,bullshark,defense_network,fissure,3,90.1,80.69378757476807,0,,,,,,,2000,,,,,,,,,,,,,,,,
2026-02-01T17:02:46.743976,bullshark,defense_network,fissure,4,92.2,80.1180579662323,0,,,,,,,2000,,,,,,,,,,,,,,,,
2026-02-01T17:04:08.596126,bullshark,defense_network,fissure,5,91.0,81.79110789299011,0,,,,,,,2000,,,,,,,,,,,,,,,,
2026-02-01T17:08:41.112214,bullshark,defense_network,fissure,2,92.8,272.4542181491852,0,,,,,,,5000,,,,,,,,,,,,,,,,
2026-02-01T17:10:00.905805,bullshark,defense_network,fissure,3,87.0,79.73597240447998,0,,,,,,,5000,,,,,,,,,,,,,,,,
2026-02-01T17:11:21.000362,bullshark,defense_network,fissure,4,90.7,80.03606724739075,0,,,,,,,5000,,,,,,,,,,,,,,,,
2026-02-01T17:12:41.238167,bullshark,defense_network,fissure,5,94.1,80.1794912815094,0,,,,,,,5000,,,,,,,,,,,,,,,,
2026-02-01T17:14:01.169744,bullshark,defense_gc,fissure,2,82.5,79.8738956451416,0,,,,,,,,5,,,,,,,,,,,,,,,
2026-02-01T17:15:21.973915,bullshark,defense_gc,fissure,3,93.7,80.74505805969238,0,,,,,,,,5,,,,,,,,,,,,,,,
2026-02-01T17:16:43.672951,bullshark,defense_gc,fissure,4,93.4,81.6400580406189,0,,,,,,,,5,,,,,,,,,,,,,,,
2026-02-01T17:18:04.998180,bullshark,defense_gc,fissure,5,92.5,81.26643085479736,0,,,,,,,,5,,,,,,,,,,,,,,,
2026-02-01T17:19:27.130494,bullshark,defense_gc,fissure,2,94.8,82.07144165039062,0,,,,,,,,10,,,,,,,,,,,,,,,
2026-02-01T17:20:47.922448,bullshark,defense_gc,fissure,3,85.6,80.73808217048645,0,,,,,,,,10,,,,,,,,,,,,,,,
2026-02-01T17:22:07.520729,bullshark,defense_gc,fissure,4,94.6,79.54162049293518,0,,,,,,,,10,,,,,,,,,,,,,,,
2026-02-01T17:23:28.575434,bullshark,defense_gc,fissure,5,91.9,80.99720239639282,0,,,,,,,,10,,,,,,,,,,,,,,,
2026-02-01T17:24:49.763576,bullshark,defense_gc,fissure,2,84.9,81.13014006614685,0,,,,,,,,50,,,,,,,,,,,,,,,
2026-02-01T17:26:10.925192,bullshark,defense_gc,fissure,3,91.7,81.10320568084717,0,,,,,,,,50,,,,,,,,,,,,,,,
2026-02-01T17:27:31.953147,bullshark,defense_gc,fissure,4,94.8,80.96918272972107,0,,,,,,,,50,,,,,,,,,,,,,,,
2026-02-01T17:28:53.506973,bullshark,defense_gc,fissure,5,91.6,81.49616718292236,0,,,,,,,,50,,,,,,,,,,,,,,,
2026-02-01T17:30:14.162689,bullshark,env_latency,fissure,2,83.7,80.5964744091034,0,,,,,,,,,50ms 10ms,,,,,,,,,,,,,,
2026-02-01T17:31:35.253736,bullshark,env_latency,fissure,3,90.2,81.031569480896,0,,,,,,,,,50ms 10ms,,,,,,,,,,,,,,
2026-02-01T17:32:54.931724,bullshark,env_latency,fissure,4,84.0,79.62191319465637,0,,,,,,,,,50ms 10ms,,,,,,,,,,,,,,
2026-02-01T17:34:15.000049,bullshark,env_latency,fissure,5,68.1,80.01141834259033,0,,,,,,,,,50ms 10ms,,,,,,,,,,,,,,
2026-02-01T17:35:34.645745,bullshark,env_latency,fissure,2,90.0,79.58992743492126,0,,,,,,,,,150ms 30ms,,,,,,,,,,,,,,
2026-02-01T17:36:56.214267,bullshark,env_latency,fissure,3,92.3,81.50862622261047,0,,,,,,,,,150ms 30ms,,,,,,,,,,,,,,
2026-02-01T17:38:17.280111,bullshark,env_latency,fissure,4,88.2,81.00622200965881,0,,,,,,,,,150ms 30ms,,,,,,,,,,,,,,
2026-02-01T17:39:38.086459,bullshark,env_latency,fissure,5,93.6,80.7490234375,0,,,,,,,,,150ms 30ms,,,,,,,,,,,,,,
2026-02-01T17:40:59.323740,bullshark,env_latency,fissure,2,92.9,81.17625427246094,0,,,,,,,,,300ms 50ms,,,,,,,,,,,,,,
2026-02-01T17:42:20.257609,bullshark,env_latency,fissure,3,92.4,80.87373495101929,0,,,,,,,,,300ms 50ms,,,,,,,,,,,,,,
2026-02-01T17:43:41.800773,bullshark,env_latency,fissure,4,92.0,81.48406553268433,0,,,,,,,,,300ms 50ms,,,,,,,,,,,,,,
2026-02-01T17:45:02.800288,bullshark,env_latency,fissure,5,84.4,80.93960356712341,0,,,,,,,,,300ms 50ms,,,,,,,,,,,,,,
2026-02-01T17:46:23.434590,bullshark,offense_fissure,fissure,2,90.1,80.57932496070862,0,,0.1,,,,,,,,,,,,,,,,,,,,,
2026-02-01T17:47:44.647969,bullshark,offense_fissure,fissure,3,94.6,81.15858674049377,0,,0.1,,,,,,,,,,,,,,,,,,,,,
2026-02-01T17:49:03.976854,bullshark,offense_fissure,fissure,4,94.8,79.27574443817139,0,,0.1,,,,,,,,,,,,,,,,,,,,,
2026-02-01T17:50:24.308874,bullshark,offense_fissure,fissure,5,82.8,80.27806401252747,0,,0.1,,,,,,,,,,,,,,,,,,,,,
2026-02-01T17:51:43.095439,bullshark,offense_fissure,fissure,2,77.6,78.73165249824524,0,,0.2,,,,,,,,,,,,,,,,,,,,,
2026-02-01T17:53:03.483494,bullshark,offense_fissure,fissure,3,89.0,80.33342099189758,0,,0.2,,,,,,,,,,,,,,,,,,,,,
2026-02-01T17:54:25.290227,bullshark,offense_fissure,fissure,4,94.8,81.74742937088013,0,,0.2,,,,,,,,,,,,,,,,,,,,,
2026-02-01T17:55:45.672513,bullshark,offense_fissure,fissure,5,92.8,80.32718110084534,0,,0.2,,,,,,,,,,,,,,,,,,,,,
2026-02-01T17:57:05.481306,bullshark,offense_fissure,fissure,2,90.5,79.75332164764404,0,,0.33,,,,,,,,,,,,,,,,,,,,,
2026-02-01T17:58:27.514843,bullshark,offense_fissure,fissure,3,94.7,81.97203397750854,0,,0.33,,,,,,,,,,,,,,,,,,,,,
2026-02-01T17:59:48.814129,bullshark,offense_fissure,fissure,4,94.8,81.2379720211029,0,,0.33,,,,,,,,,,,,,,,,,,,,,
2026-02-01T18:01:10.986596,bullshark,offense_fissure,fissure,5,93.4,82.11063385009766,0,,0.33,,,,,,,,,,,,,,,,,,,,,
2026-02-01T16:45:48.385033,bullshark,offense_speculative,speculative,1,95.3,90.40681529045105,0,,,5,,,,,,,,,,,,,,,,,,,,
2026-02-01T16:45:53.846481,bullshark,offense_speculative,speculative,1,88.5,5.45602822303772,0,,,20,,,,,,,,,,,,,,,,,,,,
2026-02-01T16:45:58.603873,bullshark,offense_speculative,speculative,1,88.0,4.752027988433838,0,,,50,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:28:47.759982,bullshark,scaling,speculative,1,91.1,80.68973278999329,1,13,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:39:54.576140,bullshark,scaling,speculative,2,91.0,82.21107840538025,0,13,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:41:16.066980,bullshark,scaling,speculative,3,93.0,81.43807458877563,0,13,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:42:37.145328,bullshark,scaling,speculative,4,93.1,81.02613401412964,0,13,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:43:58.475813,bullshark,scaling,speculative,5,93.1,81.2803602218628,0,13,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:45:18.682100,bullshark,scaling,speculative,1,91.6,80.13987827301025,0,25,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:46:38.717563,bullshark,scaling,speculative,2,91.6,79.97376227378845,0,25,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:47:59.502230,bullshark,scaling,speculative,3,89.5,80.71494388580322,0,25,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:49:19.121468,bullshark,scaling,speculative,4,90.2,79.5533037185669,0,25,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:50:40.627677,bullshark,scaling,speculative,5,90.1,81.43928408622742,0,25,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:52:19.965272,bullshark,scaling,speculative,1,86.1,99.22344183921814,0,50,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:53:59.388915,bullshark,scaling,speculative,2,84.3,99.29350543022156,0,50,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:55:38.856881,bullshark,scaling,speculative,3,84.3,99.33785557746887,0,50,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:57:17.450761,bullshark,scaling,speculative,4,85.3,98.46584558486938,0,50,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T21:58:58.073410,bullshark,scaling,speculative,5,83.7,100.49379062652588,0,50,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T22:09:24.375884,bullshark,scaling,speculative,1,84.0,626.056613445282,0,100,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T22:20:43.182784,bullshark,scaling,speculative,2,83.0,678.5206220149994,0,100,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T22:35:52.668037,bullshark,scaling,speculative,3,86.4,909.1744916439056,0,100,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T22:47:45.975913,bullshark,scaling,speculative,4,81.0,713.0147364139557,0,100,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T23:01:06.893470,bullshark,scaling,speculative,5,85.9,800.6215825080872,0,100,,,,,,,,,,,,,,,,,,,,,,
2026-02-01T23:02:28.884015,bullshark,defense_memory,speculative,1,77.7,81.87866687774658,0,,,,,,1,,,,,,,,,,,,,,,,,
2026-02-01T23:03:50.727959,bullshark,defense_memory,speculative,2,94.6,81.7867374420166,0,,,,,,1,,,,,,,,,,,,,,,,,
2026-02-01T23:05:11.973504,bullshark,defense_memory,speculative,3,92.5,81.19126582145691,0,,,,,,1,,,,,,,,,,,,,,,,,
2026-02-01T23:06:34.161421,bullshark,defense_memory,speculative,4,94.0,82.12875556945801,0,,,,,,1,,,,,,,,,,,,,,,,,
2026-02-01T23:07:55.662251,bullshark,defense_memory,speculative,5,93.4,81.4437837600708,0,,,,,,1,,,,,,,,,,,,,,,,,
2026-02-01T23:09:16.362291,bullshark,defense_memory,speculative,1,91.9,80.6463360786438,0,,,,,,2,,,,,,,,,,,,,,,,,
2026-02-01T23:10:36.668438,bullshark,defense_memory,speculative,2,81.3,80.25331735610962,0,,,,,,2,,,,,,,,,,,,,,,,,
2026-02-01T23:11:57.913706,bullshark,defense_memory,speculative,3,87.4,81.18994855880737,0,,,,,,2,,,,,,,,,,,,,,,,,
2026-02-01T23:13:18.643690,bullshark,defense_memory,speculative,4,91.9,80.67758274078369,0,,,,,,2,,,,,,,,,,,,,,,,,
2026-02-01T23:14:36.674318,bullshark,defense_memory,speculative,5,72.3,77.98100018501282,0,,,,,,2,,,,,,,,,,,,,,,,,
2026-02-01T23:15:56.877944,bullshark,defense_memory,speculative,1,91.4,80.15486693382263,0,,,,,,5,,,,,,,,,,,,,,,,,
2026-02-01T23:17:18.029487,bullshark,defense_memory,speculative,2,93.4,81.09602761268616,0,,,,,,5,,,,,,,,,,,,,,,,,
2026-02-01T23:18:38.921876,bullshark,defense_memory,speculative,3,93.4,80.83826947212219,0,,,,,,5,,,,,,,,,,,,,,,,,
2026-02-01T23:20:00.998725,bullshark,defense_memory,speculative,4,86.7,82.020090341568,0,,,,,,5,,,,,,,,,,,,,,,,,
2026-02-01T23:21:23.127075,bullshark,defense_memory,speculative,5,93.3,82.07277822494507,0,,,,,,5,,,,,,,,,,,,,,,,,
