timestamp,protocol,experiment,attack_mode,attack_type,rep,asr,asr_l1,asr_l2,asr_histogram,duration,exit_code,NUM_NODES,ATTACKER_RATIO,ATTACKER_ID,FRONT_ATTACKER_ID,BACK_ATTACKER_ID,VICTIM_ID,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO,VICTIM_COUNT,ATTACK_TYPE,SANDWICH_METRIC_MODE,ALEPH_ELECTION_LOOKAHEAD,ALEPH_COORD_REQUEST_DELAY_MS,ALEPH_HASH_SORT_SEED,AUTOBAHN_K,AUTOBAHN_FAST_PATH_TIMEOUT,AUTOBAHN_USE_FAST_PATH
2026-03-31T01:42:25.237235,alephbft,simple,sluggish,backrun,2,99.68,8.32,17.28,"{""1"": 52, ""10+"": 66, ""2"": 56, ""3"": 43, ""4"": 7, ""5"": 8, ""6"": 14, ""7"": 114, ""8"": 146, ""9"": 117}",35.62874698638916,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:43:03.844662,alephbft,simple,sluggish,backrun,3,99.32,11.15,23.14,"{""1"": 66, ""10+"": 37, ""2"": 71, ""3"": 53, ""4"": 6, ""5"": 1, ""6"": 12, ""7"": 116, ""8"": 122, ""9"": 104}",33.60021495819092,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:43:46.504520,alephbft,simple,sluggish,backrun,4,97.75,11.24,21.29,"{""1"": 75, ""10+"": 53, ""2"": 67, ""3"": 61, ""4"": 3, ""5"": 4, ""6"": 9, ""7"": 103, ""8"": 156, ""9"": 121}",37.654338121414185,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:44:42.351664,alephbft,simple,sluggish,backrun,5,100.00,9.79,22.91,"{""1"": 88, ""10+"": 56, ""2"": 118, ""3"": 99, ""4"": 27, ""5"": 5, ""6"": 12, ""7"": 147, ""8"": 186, ""9"": 161}",50.84042811393738,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:56:48.112390,mysticeti,simple,fissure,backrun,1,99.17,38.02,59.5,"{""1"": 46, ""10+"": 32, ""2"": 26, ""3"": 15, ""4"": 1}",3.5342211723327637,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:56:55.688400,mysticeti,simple,fissure,backrun,2,100.00,36.89,63.11,"{""1"": 38, ""10+"": 24, ""2"": 27, ""3"": 14}",2.5708370208740234,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:57:03.377352,mysticeti,simple,fissure,backrun,3,100.00,31.07,62.14,"{""1"": 32, ""10+"": 23, ""2"": 32, ""3"": 15, ""6"": 1}",2.6821799278259277,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:57:11.058617,mysticeti,simple,fissure,backrun,4,100.00,33.33,66.67,"{""1"": 41, ""10+"": 23, ""2"": 41, ""3"": 16, ""5"": 2}",2.673936128616333,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:57:18.836445,mysticeti,simple,fissure,backrun,5,100.00,34.81,68.15,"{""1"": 47, ""10+"": 24, ""2"": 45, ""3"": 18, ""6"": 1}",2.7634880542755127,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T01:57:26.731381,mysticeti,simple,speculative,backrun,1,99.28,31.65,63.31,"{""1"": 44, ""10+"": 12, ""2"": 44, ""3"": 32, ""6"": 6}",2.7541322708129883,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
