timestamp,protocol,experiment,attack_mode,rep,asr,duration,exit_code,NUM_NODES,ATTACKER_RATIO,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO,ALEPH_ELECTION_LOOKAHEAD,ALEPH_COORD_REQUEST_DELAY_MS,ALEPH_HASH_SORT_SEED,AUTOBAHN_K,AUTOBAHN_FAST_PATH_TIMEOUT,AUTOBAHN_USE_FAST_PATH
2026-02-13T15:42:51.668565,autobahn,autobahn_k,fissure,1,50.02,71.19418096542358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2026-02-13T15:44:07.794132,autobahn,autobahn_k,fissure,2,49.80,71.1021900177002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2026-02-13T15:45:38.065473,autobahn,autobahn_k,fissure,3,49.97,85.24842739105225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2026-02-13T15:46:57.459797,autobahn,autobahn_k,fissure,4,50.37,74.37181663513184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2026-02-13T15:48:25.855866,autobahn,autobahn_k,fissure,5,49.99,83.38227391242981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
2026-02-13T15:49:55.101611,autobahn,autobahn_k,fissure,1,50.21,84.22179293632507,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
2026-02-13T15:51:09.374810,autobahn,autobahn_k,fissure,2,50.02,69.26187658309937,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
2026-02-13T15:52:34.647150,autobahn,autobahn_k,fissure,3,50.03,80.24902939796448,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
2026-02-13T15:54:00.906757,autobahn,autobahn_k,fissure,4,50.04,81.23504328727722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
2026-02-13T15:55:20.474994,autobahn,autobahn_k,fissure,5,50.15,74.5443503856659,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
2026-02-13T15:56:45.668078,autobahn,autobahn_k,fissure,1,49.91,80.17960476875305,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
2026-02-13T15:58:01.983303,autobahn,autobahn_k,fissure,2,49.92,71.29209017753601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
2026-02-13T15:59:21.304325,autobahn,autobahn_k,fissure,3,49.98,74.30142593383789,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
2026-02-13T16:00:33.567376,autobahn,autobahn_k,fissure,4,49.54,67.23984360694885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
2026-02-13T16:01:54.685991,autobahn,autobahn_k,fissure,5,49.65,76.09469151496887,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
2026-02-13T16:03:19.593768,autobahn,autobahn_k,fissure,1,45.83,79.8840115070343,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
2026-02-13T16:04:33.459866,autobahn,autobahn_k,fissure,2,48.44,68.84145426750183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
